tokens,accesses,workload,l1_capacity,batch_size,pre_stage_ratio,expand_window,total,l1_hits,l2_hits,l3_hits,overall,l1_share,l2_share,l3_share,avg_latency_ns,total_estimated_bytes,estimated_comm_bw_MBps,num_expands,avg_expand_batch,promote_l3_to_l2,promote_l2_to_l1,demote_l1_to_l2,demote_l2_to_l3
5000,20000,1,2048,16,1,8,20000,15501,4499,0,1,0.77505,0.22495,0,83.7425,1855872,1056.75,0,0,0,0,0,0
5000,20000,1,2048,32,1,8,20000,14832,5168,0,1,0.7416,0.2584,0,88.76,1941504,1043.02,0,0,0,0,0,0
5000,20000,1,2048,64,1,8,20000,14188,5812,0,1,0.7094,0.2906,0,93.59,2023936,1031.19,0,0,0,0,0,0
5000,20000,1,2048,128,1,8,20000,14930,5070,0,1,0.7465,0.2535,0,88.025,1928960,1044.93,0,0,0,0,0,0
5000,20000,1,2048,256,1,8,20000,9327,10673,0,1,0.46635,0.53365,0,130.048,2646144,970.245,0,0,0,0,0,0
5000,20000,1,4096,16,1,8,20000,13133,6867,0,1,0.65665,0.34335,0,101.502,2158976,1014.24,0,0,0,0,0,0
5000,20000,1,4096,32,1,8,20000,9097,10903,0,1,0.45485,0.54515,0,131.773,2675584,968.197,0,0,0,0,0,0
5000,20000,1,4096,64,1,8,20000,12164,7836,0,1,0.6082,0.3918,0,108.77,2283008,1000.85,0,0,0,0,0,0
5000,20000,1,4096,128,1,8,20000,11031,8969,0,1,0.55155,0.44845,0,117.267,2428032,987.295,0,0,0,0,0,0
5000,20000,1,4096,256,1,8,20000,10334,9666,0,1,0.5167,0.4833,0,122.495,2517248,979.891,0,0,0,0,0,0
5000,20000,1,8192,16,1,8,20000,10200,9800,0,1,0.51,0.49,0,123.5,2534400,978.539,0,0,0,0,0,0
5000,20000,1,8192,32,1,8,20000,13890,6110,0,1,0.6945,0.3055,0,95.825,2062080,1026.12,0,0,0,0,0,0
5000,20000,1,8192,64,1,8,20000,9246,10754,0,1,0.4623,0.5377,0,130.655,2656512,969.518,0,0,0,0,0,0
5000,20000,1,8192,128,1,8,20000,7252,12748,0,1,0.3626,0.6374,0,145.61,2911744,953.525,0,0,0,0,0,0
5000,20000,1,8192,256,1,8,20000,8903,11097,0,1,0.44515,0.55485,0,133.227,2700416,966.511,0,0,0,0,0,0
