tokens,accesses,workload,l1_capacity,batch_size,pre_stage_ratio,expand_window,total,l1_hits,l2_hits,l3_hits,overall,l1_share,l2_share,l3_share,avg_latency_ns,total_estimated_bytes,estimated_comm_bw_MBps,num_expands,avg_expand_batch,promote_l3_to_l2,promote_l2_to_l1,demote_l1_to_l2,demote_l2_to_l3
5000,20000,3,2048,16,1,8,20000,1559,18441,0,1,0.07795,0.92205,0,188.308,3640448,921.844,0,0,0,0,0,0
5000,20000,3,2048,32,1,8,20000,0,20000,0,1,0,1,0,200,3840000,915.527,0,0,0,0,0,0
5000,20000,3,2048,64,1,8,20000,1110,18890,0,1,0.0555,0.9445,0,191.675,3697920,919.946,0,0,0,0,0,0
5000,20000,3,2048,128,1,8,20000,1537,18463,0,1,0.07685,0.92315,0,188.472,3643264,921.749,0,0,0,0,0,0
5000,20000,3,2048,256,1,8,20000,2676,17324,0,1,0.1338,0.8662,0,179.93,3497472,926.874,0,0,0,0,0,0
5000,20000,3,4096,16,1,8,20000,0,20000,0,1,0,1,0,200,3840000,915.527,0,0,0,0,0,0
5000,20000,3,4096,32,1,8,20000,3774,16226,0,1,0.1887,0.8113,0,171.695,3356928,932.297,0,0,0,0,0,0
5000,20000,3,4096,64,1,8,20000,0,20000,0,1,0,1,0,200,3840000,915.527,0,0,0,0,0,0
5000,20000,3,4096,128,1,8,20000,163,19837,0,1,0.00815,0.99185,0,198.778,3819136,916.153,0,0,0,0,0,0
5000,20000,3,4096,256,1,8,20000,2920,17080,0,1,0.146,0.854,0,178.1,3466240,928.036,0,0,0,0,0,0
5000,20000,3,8192,16,1,8,20000,2591,17409,0,1,0.12955,0.87045,0,180.567,3508352,926.475,0,0,0,0,0,0
5000,20000,3,8192,32,1,8,20000,6541,13459,0,1,0.32705,0.67295,0,150.942,3002752,948.589,0,0,0,0,0,0
5000,20000,3,8192,64,1,8,20000,5049,14951,0,1,0.25245,0.74755,0,162.132,3193728,939.286,0,0,0,0,0,0
5000,20000,3,8192,128,1,8,20000,1652,18348,0,1,0.0826,0.9174,0,187.61,3628544,922.245,0,0,0,0,0,0
5000,20000,3,8192,256,1,8,20000,3778,16222,0,1,0.1889,0.8111,0,171.665,3356416,932.318,0,0,0,0,0,0
