tokens,accesses,workload,l1_capacity,batch_size,total,l1_hits,l2_hits,l3_hits,overall,l1_share,l2_share,l3_share,avg_latency_ns,total_estimated_bytes,estimated_comm_bw_MBps,promote_l3_to_l2,promote_l2_to_l1,demote_l1_to_l2,demote_l2_to_l3
5000,20000,1,2048,16,20000,13778,5379,843,1,0.6889,0.26895,0.04215,121.955,2184320,854.057,0,0,0,0
5000,20000,1,2048,32,20000,16184,2985,831,1,0.8092,0.14925,0.04155,103.55,1874816,863.334,0,0,0,0
5000,20000,1,2048,64,20000,11067,8112,821,1,0.55335,0.4056,0.04105,141.627,2528512,851.31,0,0,0,0
5000,20000,1,2048,128,20000,6398,12740,862,1,0.3199,0.637,0.0431,177.875,3131392,839.446,0,0,0,0
5000,20000,1,2048,256,20000,14773,4401,826,1,0.73865,0.22005,0.0413,113.983,2054784,859.603,0,0,0,0
5000,20000,1,4096,16,20000,14386,4802,812,1,0.7193,0.2401,0.0406,116.465,2102528,860.828,0,0,0,0
5000,20000,1,4096,32,20000,16683,2498,819,1,0.83415,0.1249,0.04095,99.4475,1809408,867.586,0,0,0,0
5000,20000,1,4096,64,20000,15095,4077,828,1,0.75475,0.20385,0.0414,111.627,2013824,860.242,0,0,0,0
5000,20000,1,4096,128,20000,16044,3129,827,1,0.8022,0.15645,0.04135,104.48,1892224,863.594,0,0,0,0
5000,20000,1,4096,256,20000,0,19160,840,1,0,0.958,0.042,225.2,3947520,835.846,0,0,0,0
5000,20000,1,8192,16,20000,17508,1655,837,1,0.8754,0.08275,0.04185,93.8,1706112,867.311,0,0,0,0
5000,20000,1,8192,32,20000,15750,3386,864,1,0.7875,0.1693,0.0432,107.795,1934592,855.777,0,0,0,0
5000,20000,1,8192,64,20000,15228,3931,841,1,0.7614,0.19655,0.04205,111.02,1998464,858.352,0,0,0,0
5000,20000,1,8192,128,20000,14962,4213,825,1,0.7481,0.21065,0.04125,112.535,2030464,860.355,0,0,0,0
5000,20000,1,8192,256,20000,10397,8842,761,1,0.51985,0.4421,0.03805,144.852,2606592,858.059,0,0,0,0
