tokens,accesses,workload,l1_capacity,batch_size,total,l1_hits,l2_hits,l3_hits,overall,l1_share,l2_share,l3_share,avg_latency_ns,total_estimated_bytes,estimated_comm_bw_MBps,promote_l3_to_l2,promote_l2_to_l1,demote_l1_to_l2,demote_l2_to_l3
5000,20000,2,2048,16,20000,3840,11160,5000,1,0.192,0.558,0.25,321.2,3988480,592.109,0,0,0,0
5000,20000,2,2048,32,20000,3075,11925,5000,1,0.15375,0.59625,0.25,326.938,4086400,596,0,0,0,0
5000,20000,2,2048,64,20000,2816,12184,5000,1,0.1408,0.6092,0.25,328.88,4119552,597.286,0,0,0,0
5000,20000,2,2048,128,20000,2560,12440,5000,1,0.128,0.622,0.25,330.8,4152320,598.543,0,0,0,0
5000,20000,2,2048,256,20000,768,14232,5000,1,0.0384,0.7116,0.25,344.24,4381696,606.947,0,0,0,0
5000,20000,2,4096,16,20000,2560,12440,5000,1,0.128,0.622,0.25,330.8,4152320,598.543,0,0,0,0
5000,20000,2,4096,32,20000,768,14232,5000,1,0.0384,0.7116,0.25,344.24,4381696,606.947,0,0,0,0
5000,20000,2,4096,64,20000,2816,12184,5000,1,0.1408,0.6092,0.25,328.88,4119552,597.286,0,0,0,0
5000,20000,2,4096,128,20000,768,14232,5000,1,0.0384,0.7116,0.25,344.24,4381696,606.947,0,0,0,0
5000,20000,2,4096,256,20000,2816,12184,5000,1,0.1408,0.6092,0.25,328.88,4119552,597.286,0,0,0,0
5000,20000,2,8192,16,20000,3584,11416,5000,1,0.1792,0.5708,0.25,323.12,4021248,593.427,0,0,0,0
5000,20000,2,8192,32,20000,3023,11977,5000,1,0.15115,0.59885,0.25,327.327,4093056,596.259,0,0,0,0
5000,20000,2,8192,64,20000,1280,13720,5000,1,0.064,0.686,0.25,340.4,4316160,604.614,0,0,0,0
5000,20000,2,8192,128,20000,3072,11928,5000,1,0.1536,0.5964,0.25,326.96,4086784,596.015,0,0,0,0
5000,20000,2,8192,256,20000,3328,11672,5000,1,0.1664,0.5836,0.25,325.04,4054016,594.728,0,0,0,0
