tokens,accesses,workload,l1_capacity,batch_size,total,l1_hits,l2_hits,l3_hits,overall,l1_share,l2_share,l3_share,avg_latency_ns,total_estimated_bytes,estimated_comm_bw_MBps,promote_l3_to_l2,promote_l2_to_l1,demote_l1_to_l2,demote_l2_to_l3
5000,20000,1,2048,16,20000,8949,10197,854,1,0.44745,0.50985,0.0427,158.502,2803840,843.504,0,0,0,0
5000,20000,1,2048,32,20000,4880,14290,830,1,0.244,0.7145,0.0415,188.3,3321600,841.138,0,0,0,0
5000,20000,1,2048,64,20000,11961,7201,838,1,0.59805,0.36005,0.0419,135.433,2416256,850.727,0,0,0,0
5000,20000,1,2048,128,20000,8660,10485,855,1,0.433,0.52425,0.04275,160.7,2840960,842.984,0,0,0,0
5000,20000,1,2048,256,20000,13613,5556,831,1,0.68065,0.2778,0.04155,122.832,2203904,855.558,0,0,0,0
5000,20000,1,4096,16,20000,8939,10244,817,1,0.44695,0.5122,0.04085,157.468,2800384,848.002,0,0,0,0
5000,20000,1,4096,32,20000,9061,10123,816,1,0.45305,0.50615,0.0408,156.523,2784640,848.325,0,0,0,0
5000,20000,1,4096,64,20000,5821,13339,840,1,0.29105,0.66695,0.042,181.542,3202432,841.147,0,0,0,0
5000,20000,1,4096,128,20000,9371,9777,852,1,0.46855,0.48885,0.0426,155.278,2749568,844.357,0,0,0,0
5000,20000,1,4096,256,20000,8166,10980,854,1,0.4083,0.549,0.0427,164.375,2904064,842.443,0,0,0,0
5000,20000,1,8192,16,20000,11349,7807,844,1,0.56745,0.39035,0.0422,140.202,2495360,848.687,0,0,0,0
5000,20000,1,8192,32,20000,9113,10078,809,1,0.45565,0.5039,0.04045,155.923,2777088,849.28,0,0,0,0
5000,20000,1,8192,64,20000,8810,10362,828,1,0.4405,0.5181,0.0414,158.765,2818304,846.454,0,0,0,0
5000,20000,1,8192,128,20000,10202,8963,835,1,0.5101,0.44815,0.04175,148.535,2641024,847.839,0,0,0,0
5000,20000,1,8192,256,20000,10157,9010,833,1,0.50785,0.4505,0.04165,148.812,2646528,848.022,0,0,0,0
